Date,Close,High,Low,Open,Volume,moving_avg5,moving_avg10,return,volatility,lag_1,lag_2,lag_3
2018-01-17,21.75,22.114999771118164,21.631999969482425,22.100000381469727,91231000,21.800400161743163,21.320499992370607,-0.018191661632751766,0.014431809760947167,22.152999877929688,22.12299919128418,21.724000930786133
2018-01-18,22.03300094604492,22.058000564575195,21.655000686645508,22.03400039672852,82253000,21.956600189208984,21.473300170898437,0.013011537749191726,0.01396673380495055,21.75,22.152999877929688,22.12299919128418
2018-01-19,22.04599952697754,22.349000930786133,21.850000381469727,22.274999618530277,105486000,22.020999908447266,21.62160015106201,0.0005899596230423132,0.0140639844201283,22.03300094604492,21.75,22.152999877929688
2018-01-22,22.757999420166016,22.77899932861328,22.1200008392334,22.200000762939453,177033000,22.147999954223632,21.79750003814697,0.03229610398554206,0.01565002607021581,22.04599952697754,22.03300094604492,21.75
2018-01-23,25.02899932861328,25.770999908447266,24.802000045776367,25.5049991607666,277053000,22.72319984436035,22.179899978637696,0.09978908367643768,0.0329698830181794,22.757999420166016,22.04599952697754,22.03300094604492
2018-01-24,26.1299991607666,26.17099952697754,24.93099975585937,25.08799934387207,173524000,23.59919967651367,22.699799919128417,0.04398896726544921,0.03209600172659773,25.02899932861328,22.757999420166016,22.04599952697754
2018-01-25,26.96999931335449,27.229999542236328,26.02300071716309,26.299999237060547,153364000,24.586599349975582,23.271599769592285,0.03214696439214282,0.032097500700909984,26.1299991607666,25.02899932861328,22.757999420166016
2018-01-26,27.459999084472656,27.459999084472656,26.875999450683597,27.14900016784668,110218000,25.66939926147461,23.845199584960938,0.018168327163269105,0.032155719412264736,26.96999931335449,26.1299991607666,25.02899932861328
2018-01-29,28.458999633789062,28.68099975585937,27.392000198364254,27.420000076293945,175297000,26.809599304199217,24.478799629211426,0.03638021058352092,0.032299838281680336,27.459999084472656,26.96999931335449,26.1299991607666
2018-01-30,27.8799991607666,28.27300071716309,27.270000457763672,27.700000762939453,124829000,27.37979927062988,25.051499557495116,-0.020345074685443998,0.03477059691424599,28.458999633789062,27.459999084472656,26.96999931335449
2018-01-31,27.030000686645508,28.22900009155273,26.95800018310547,28.194000244140625,116951000,27.559799575805663,25.579499626159667,-0.030487751065546354,0.03658974260268707,27.8799991607666,28.458999633789062,27.459999084472656
2018-02-01,26.506999969482425,27.19499969482422,26.33799934387207,26.641000747680664,96690000,27.46719970703125,26.026899528503417,-0.019348897664715037,0.03888636868502951,27.030000686645508,27.8799991607666,28.458999633789062
2018-02-02,26.743000030517575,27.062000274658203,26.270999908447266,26.299999237060547,91236000,27.323799896240235,26.49659957885742,0.00890331087285845,0.03852872752277377,26.506999969482425,27.030000686645508,27.8799991607666
2018-02-05,25.426000595092773,26.790000915527344,25.00300025939941,26.200000762939453,118961000,26.717200088500977,26.7633996963501,-0.049246510635378105,0.04392348253022305,26.743000030517575,26.506999969482425,27.030000686645508
2018-02-06,26.57200050354004,26.670000076293945,24.5,24.770000457763672,125958000,26.455600357055665,26.917699813842773,0.045071968914703886,0.03407560930229513,25.426000595092773,26.743000030517575,26.506999969482425
2018-02-07,26.45599937438965,27.2450008392334,26.433000564575195,26.65800094604492,89815000,26.340800094604493,26.95029983520508,-0.004365539927448703,0.031502001274541676,26.57200050354004,25.426000595092773,26.743000030517575
2018-02-08,25.01000022888184,26.761999130249023,25.0,26.70800018310547,93067000,26.041400146484374,26.754299926757813,-0.05465675762404154,0.03403401468260872,26.45599937438965,26.57200050354004,25.426000595092773
