Date,Close,High,Low,Open,Volume,moving_avg5,moving_avg10,return,volatility,lag_1,lag_2,lag_3
2018-01-17,41.90455627441406,41.9396507884389,40.961645582745746,41.214333224012265,137547200,41.27048568725586,40.966085052490236,0.016516664908472034,0.007060561939481298,41.22367858886719,41.43427658081055,41.010780334472656
2018-01-18,41.94198989868164,42.13852989077325,41.7056785034929,41.967727066089836,124773600,41.503056335449216,41.13056869506836,0.0008933067808292172,0.006999527278602206,41.90455627441406,41.22367858886719,41.43427658081055
2018-01-19,41.75479888916016,42.01684735445012,41.50912666787953,41.78989339071057,129700400,41.651860046386716,41.25761528015137,-0.004463093190706258,0.007486358218788148,41.94198989868164,41.90455627441406,41.22367858886719
2018-01-22,41.4132080078125,41.59570660494731,41.31962026523079,41.48340059982055,108434400,41.64764633178711,41.30441017150879,-0.00818087717903826,0.007641356838838521,41.75479888916016,41.94198989868164,41.90455627441406
2018-01-23,41.42256164550781,41.98409876115503,41.37109089079645,41.48339688586861,130756400,41.68742294311524,41.36734848022461,0.00022586122025480826,0.007461381823206786,41.4132080078125,41.75479888916016,41.94198989868164
2018-01-24,40.76276779174805,41.4834049089433,40.52411438218777,41.471705547369424,204420400,41.45906524658203,41.36477546691894,-0.015928369167659162,0.00930347643598077,41.42256164550781,41.4132080078125,41.75479888916016
2018-01-25,40.03511047363281,40.93356571913233,39.899405738092184,40.83061705285022,166116000,41.07768936157227,41.29037284851074,-0.017851028218514142,0.010881659389529674,40.76276779174805,41.42256164550781,41.4132080078125
2018-01-26,40.128692626953125,40.243340638442135,39.78943262048329,40.243340638442135,156572000,40.75246810913086,41.20216407775879,0.002337502062894181,0.010676195242210236,40.03511047363281,40.76276779174805,41.42256164550781
2018-01-29,39.29808807373047,39.81282771637196,39.08985234497419,39.81282771637196,202561600,40.329444122314456,40.98854522705078,-0.020698520157239497,0.011154388516470711,40.128692626953125,40.03511047363281,40.76276779174805
2018-01-30,39.06645202636719,39.16003975023138,38.53533258957372,38.72953050822759,184192800,39.85822219848633,40.772822570800784,-0.005894333763227566,0.011156205921959445,39.29808807373047,40.128692626953125,40.03511047363281
2018-01-31,39.1740837097168,39.41039864035675,38.95649061096402,39.04305944765361,129915600,39.54048538208008,40.49977531433105,0.002755092355890554,0.008756013138170277,39.06645202636719,39.29808807373047,40.128692626953125
2018-02-01,39.255977630615234,39.452514033583086,39.01732424407224,39.11325400152449,188923200,39.38465881347656,40.231174087524415,0.00209051273554417,0.008878404200017363,39.1740837097168,39.06645202636719,39.29808807373047
2018-02-02,37.55266189575195,39.026692329053304,37.459074135284396,38.83951323797398,346375200,38.86945266723633,39.810960388183595,-0.043389971099201174,0.014567458602431839,39.255977630615234,39.1740837097168,39.06645202636719
2018-02-05,36.61442184448242,38.34348150059493,36.499773833727474,37.225091280275514,290954000,38.33271942138672,39.331081771850585,-0.024984648328636005,0.01523028180876076,37.55266189575195,39.255977630615234,39.1740837097168
2018-02-06,38.14460372924805,38.30604561047682,36.031828610000396,36.226026556250716,272975200,38.14834976196289,39.00328598022461,0.04179178060669586,0.02277934492501201,36.61442184448242,37.55266189575195,39.255977630615234
2018-02-07,37.32804870605469,38.23118457700955,37.21808468690104,38.158653522396854,206434400,37.77914276123047,38.659814071655276,-0.02140682936410354,0.023056017572382133,38.14460372924805,36.61442184448242,37.55266189575195
2018-02-08,36.30088424682617,37.669626771873475,36.27280864882058,37.503504486675325,217562000,37.188124084472655,38.28639144897461,-0.027517228862324883,0.02368451221852673,37.32804870605469,38.14460372924805,36.61442184448242
2018-02-09,36.74491500854492,37.0926057952475,35.295416555680326,36.8999676132487,282690400,37.02657470703125,37.94801368713379,0.012231954425671487,0.024428584094634137,36.30088424682617,37.32804870605469,38.14460372924805
